"Incoming Examination for Acquisition",,"8-1991","Incoming Examination for Acquisition","Accession Number:","32-69/2","Artist:","Cornelis Visscher","Title, Date:","The Mouse Trap, Mid-17th century","Medium:","Stiple engraving","Dimensions:","5 7/16 x 7 11/16 inches (13.81 x 19.53 cm)","Type:","Examination","Exam Date:",9/14/1987,"Overall Condition:","(not entered)","Remarks:","Survey Card
Frame:
na

Mat/Mount:
slick 2 ply
good glassine

Object:
sl gen discoloration
mod. dark foxing

Recommended Treatment:
wash to reduce staining

Care and Maintenance:
na

CURATORIAL PRIORITY:  na","Examiner:","Priority:","4-Periodic monitoring needed","Light Exposure:","Overall Analysis:",
"Incoming Examination for Acquisition",,"8-1991","Incoming Examination for Acquisition","Accession Number:","32-69/3","Artist:","Van Der Meer, Jules Jacquemart","Title, Date:","Soldier and Laughing Maiden, 1866","Medium:","Drypoint","Dimensions:","Image: 11 x 7 3/4 in. (27.94 x 19.685 cm)","Type:","Examination","Exam Date:",10/27/1987,"Overall Condition:","(not entered)","Remarks:","Condition:

Frame:


Mat/Mount:
slick 2 ply
old acetate

Object:
sl gen discoloration, mod in mount (wood)
matburn, margins - slight 
mod soiling
old glues, skinning at T mount

Recommended Treatment:
clean
wash

Care and Maintenance:


Curatorial Priority:","Examiner:","Priority:","4-Periodic monitoring needed","Light Exposure:","Overall Analysis:",
"Incoming Examination for Acquisition",,"8-1991","Incoming Examination for Acquisition","Accession Number:","32-69/4","Artist:","James Abbott McNeill Whistler","Title, Date:","Afternoon Tea, ca. 1895","Medium:","Lithograph","Dimensions:","Plate: 7 1/4 x 6 1/8 in. (18.415 x 15.5702 cm)
Sheet: 15 3/4 x 9 1/2 in. (40.005 x 24.13 cm)","Type:","Examination","Exam Date:",11/6/1987,"Overall Condition:","(not entered)","Remarks:","Survey Card
Frame:
na

Mat/Mount:
slick 2 ply
good glassine

Object:
sl gen discoloration
mod matburn, margins
sl-mod soil
redge SEVERELY skinned

Recommended Treatment:
(clean)
wash

Care and Maintenance:
na

CURATORIAL PRIORITY: na","Examiner:","Priority:","4-Periodic monitoring needed","Light Exposure:","Overall Analysis:",
"Incoming Examination for Acquisition",,"8-1991","Incoming Examination for Acquisition","Accession Number:","32-69/5","Artist:","James Abbott McNeill Whistler","Title, Date:","Savoy Pigeons, 1896","Medium:","Lithograph","Dimensions:","Plate: 7 7/8 x 5 3/8 in. (19.9898 x 13.6398 cm)
Sheet: 11 7/8 x 7 1/16 in. (30.1498 x 17.9324 cm)","Type:","Examination","Exam Date:",11/6/1987,"Overall Condition:","(not entered)","Remarks:","Survey Card
Frame:
na

Mat/Mount:
slick 2 ply
acetate

Object:
sl-mod discoloration,
worse T&R
sl mod soiling
R edge cockled

Recommended Treatment:
clean
wash

Care and Maintenance:
na

CURATORIAL PRIORITY: na","Examiner:","Priority:","4-Periodic monitoring needed","Light Exposure:","Overall Analysis:",
"Incoming Examination for Acquisition",,"8-1991","Incoming Examination for Acquisition","Accession Number:","32-69/6","Artist:","James Abbott McNeill Whistler","Title, Date:","The Old Smith's Story, 1896","Medium:","Lithograph","Dimensions:","Overall: 7 15/16 x 5 13/16 in. (20.1422 x 14.7828 cm)","Type:","Examination","Exam Date:",11/6/1987,"Overall Condition:","(not entered)","Remarks:","Survey Card
Frame:
na

Mat/Mount:
slick 2 ply
good glassine

Object:
sl gen discoloration; edges darker
sl mod matburn, margins mod soiling

Recommended Treatment:
clean
wash

Care and Maintenance:
na

CURATORIAL PRIORITY: na","Examiner:","Priority:","4-Periodic monitoring needed","Light Exposure:","Overall Analysis:",
"Incoming Examination for Acquisition",,"8-1991","Incoming Examination for Acquisition","Accession Number:","32-69/7","Artist:","James Abbott McNeill Whistler","Title, Date:","Sunday, Lyme Regis, 1895","Medium:","Lithograph","Dimensions:","Overall: 7 3/4 x 4 5/8 in. (19.685 x 11.7602 cm)","Type:","Examination","Exam Date:",11/6/1987,"Overall Condition:","(not entered)","Remarks:","Survey Card
Frame:
na

Mat/Mount:
slick 2 ply
acetate

Object:
sl gen discoloration,
w/darker edges
(espec R)
sl soiling

Recommended Treatment:
clean
wash

Care and Maintenance:
na

CURATORIAL PRIORITY: na","Examiner:","Priority:","4-Periodic monitoring needed","Light Exposure:","Overall Analysis:",
"Incoming Examination for Acquisition",,"8-1991","Incoming Examination for Acquisition","Accession Number:","32-69/8","Artist:","James Abbott McNeill Whistler","Title, Date:","John Grove, 1895","Medium:","Lithograph","Dimensions:","Plate: 8 1/8 x 6 1/8 in. (20.6502 x 15.5702 cm)
Sheet: 11 1/4 x 8 3/4 in. (28.575 x 22.225 cm)","Type:","Examination","Exam Date:",11/6/1987,"Overall Condition:","(not entered)","Remarks:","Survey Card
Frame:
na

Mat/Mount:
slick 2 ply
good glassine

Object:
sl mod gen discoloration w/ dark edges
sl mod gen soiling 
mod handling stains
corner creases
hinges broken

Recommended Treatment:
clean
wash

Care and Maintenance:
na

CURATORIAL PRIORITY:  na","Examiner:","Priority:","4-Periodic monitoring needed","Light Exposure:","Overall Analysis:",
"Incoming Examination for Acquisition",,"8-1991","Incoming Examination for Acquisition","Accession Number:","32-69/20","Artist:","James Abbott McNeill Whistler","Title, Date:","Limehouse, 1878","Medium:","Lithograph","Dimensions:","6 3/4 x 10 1/2 inches (17.15 x 26.67 cm)","Type:","Examination","Exam Date:",11/6/1987,"Overall Condition:","(not entered)","Remarks:","Survey Card
Frame:
na

Mat/Mount:
4 ply reg
good glassine

Object:
sl discoloration and soiling
soft horizontal creases, B
mod-severe cockling
sm brown stains R edge

Recommended Treatment:
flatten

Care and Maintenance:
na

CURATORIAL PRIORITY:  na","Examiner:","Priority:","5-No treatment needed","Light Exposure:","Overall Analysis:",
"Incoming Examination for Acquisition",,"8-1991","Incoming Examination for Acquisition","Accession Number:","32-69/21","Artist:","Barthel Beham","Title, Date:","Emperor Charles V, 1531","Medium:","Engraving","Dimensions:","Plate: 8 1/8 x 5 1/16 in. (20.6375 x 12.8588 cm)","Type:","Examination","Exam Date:",10/14/1987,"Overall Condition:","(not entered)","Remarks:","Survey Card
Frame:
na

Mat/Mount:
4 ply rag
good glassine

Object:
sl gen discoloration
several sm stains
sl soiling
edges drawn by adhesive or hinges

Recommended Treatment:
clean
remove adhesive / hinges
wash

Care and Maintenance:
na

CURATORIAL PRIORITY:  na","Examiner:","Priority:","5-No treatment needed","Light Exposure:","Overall Analysis:",
"Incoming Examination for Acquisition",,"8-1991","Incoming Examination for Acquisition","Accession Number:","32-69/22","Artist:","Ethel Léontine Gabain","Title, Date:","The White Door, 1912","Medium:","Lithograph","Dimensions:","Sheet: 8 1/4 x 5 9/16 in. (20.955 x 14.1224 cm)","Type:","Examination","Exam Date:",10/29/1987,"Overall Condition:","(not entered)","Remarks:","Survey Card
Frame:
na

Mat/Mount:
slick 2 ply
acidic glassine

Object:
sl-mod gen discoloration
sl light burn
sl-mod soiling, worse UR
numerous creases L & B

Recommended Treatment:
clean
wash

Care and Maintenance:
na

CURATORIAL PRIORITY:  na","Examiner:","Priority:","5-No treatment needed","Light Exposure:","Overall Analysis:",
"Incoming Examination for Acquisition",,"8-1991","Incoming Examination for Acquisition","Accession Number:","32-69/23","Artist:","Henri de Toulouse-Lautrec","Title, Date:","At the Opera: Madame Caron in Faust, 1894","Medium:","Lithograph, 16/100","Dimensions:","Image: 14 1/4 x 10 3/8 in. (36.195 x 26.3525 cm)","Type:","Examination","Exam Date:",11/2/1987,"Overall Condition:","(not entered)","Remarks:","Survey Card
Frame:
na

Mat/Mount:
slick 2 ply
good glassine

Object:
sl gen discoloration
sl light burn
sl soiling, worse at corners
num accretions

Recommended Treatment:
clean
wash

Care and Maintenance:
na

CURATORIAL PRIORITY:  na","Examiner:","Priority:","4-Periodic monitoring needed","Light Exposure:","Overall Analysis:",
